,Company1,Company2,Company3,Company4,Company5,Company6,Company7,Company8,Company9,Company10,Company11,Company12,Company13,Company14,Company15,Company16,Company17,Company18,Company19,Company20,Company21,Company22,Company23,Company24,Company25
Property,?,?,?,?,26.58,29.06,57.22,43.32,181.3,124.43,24.29,44.67,17.63,42.33,44.65,46.2,61.35,4.25,135.67,59.86,51.05,83.31,92.09,42.36,105.15
,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values
76,421.76,35.78,94.3,56.58,8.13,47.39,85.22,100.52,76.2,43.21,25.07,25.14,140.15,94.9,16.26,38.75,48.59,337.51,35.7,101.11,59.47,8.34,46.52,93.33,104.93
77,430.26,36.05,95.22,57.76,8.25,48.26,85,102.24,77.31,43.38,25.53,25.48,143.33,97.16,16.61,38.9,49.56,324.05,35.75,100.68,58.55,8.32,47.03,93.15,105.2
78,424.75,36.45,96.19,58.58,8.24,48.39,85.96,105.08,78,44.07,25.58,25.83,144.26,98.44,17,39.9,49.67,317.92,35.43,101.55,58.51,8.26,46.32,93.66,105.23
79,423.21,37.43,95.89,58.82,8.25,48.55,85.83,105,78.49,43.91,25.57,25.88,145.22,99.33,17.09,40.65,49.73,312.24,35.32,100.21,57.5,8.26,46.86,93.7,104.79
80,422.21,35.55,95.5,58.17,8.3,48.2,86,104.78,79,44.36,25.67,25.73,144.92,97.82,16.6,41.87,49.95,318.05,34.67,100.98,57.61,8.34,48.1,93.59,104.99
81,425,35.37,95.36,58.13,8.25,48.59,86.89,104.14,78.75,44.3,25.97,25.8,145.66,96.85,16.94,42.25,49.99,337.46,34.43,99.85,57.53,8.31,49.87,93.62,105.03
82,429.47,35.43,95.48,58.32,8.23,49.07,87.19,105.6,78.34,44.93,25.95,25.78,145.51,97.04,17.06,42.5,50.22,352.5,35,99.52,57.32,8.49,51.42,94.01,106.02
83,430.41,35.9,95.51,58.3,8.3,50.27,88.48,109.79,77.82,45.45,26.07,25.72,145.34,95.42,17.22,42.72,49.61,362.73,35.01,99.35,57.75,8.54,53.05,93.21,103.56
84,442.98,36.03,95.39,58.13,8.26,50.22,88.21,110.84,77.11,45,26.07,25.95,144.89,94.68,16.69,42.7,49.6,376.63,36.1,100.02,57.09,8.48,57.94,93.13,102.78
85,451.69,36.07,98.52,57.89,8.27,49.17,87.4,110,76.99,44.56,26.33,25.89,144.66,94.99,16.39,42.91,49.16,349.3,36.08,99.8,56.56,8.51,56.62,92.98,102.9
86,440.81,36.18,98.64,57.92,8.3,48.59,87.77,109.43,76.32,44.65,26.77,25.7,143.83,93.62,16.33,42.23,49.49,336.76,36.03,100.73,56.45,8.49,56.38,93,103.05
87,443.28,36.27,98.96,57.87,8.31,49.09,88.83,110.4,76.62,45.45,26.92,25.84,145.33,95.03,16.46,43.04,49.5,331.05,35.76,101,56.45,8.47,57.2,93.25,102.62
88,454.07,36.45,99.65,57.94,8.29,49.37,88.59,110.18,77.69,42.51,26.69,25.73,145.28,96.97,16.16,44,49.49,329.08,35.35,100.7,55.79,8.37,55.1,92.54,102.63
89,450.69,35.95,100.32,58.13,8.35,49.33,88.35,110.25,77.21,42.33,26.75,25.38,145,96.8,16.12,43.33,48.82,332.89,35.28,99.66,56.22,8.56,55.25,92.66,102.18
90,443.3,35.86,100.69,58.62,8.26,49.34,89.19,110.43,77.13,42.22,26.63,25.61,144.99,95.86,16.17,43.26,48.67,330.8,35.13,99.15,55.55,8.69,55.32,92.2,101.1
91,441.46,35.72,100.66,58.65,8.24,48.8,87.94,109.5,76.55,41.7,26.19,25.52,144.14,95.36,15.64,42.91,46.82,354.48,35.15,98.55,57.89,8.63,57.23,93.57,102.91
92,434.39,35.38,100.22,58.28,8.26,48.88,88.37,108.14,76.24,41.37,26.13,25.25,143.5,93.76,15.58,41,46.71,351.03,35.25,98.08,55.22,8.65,56.71,92.68,102.65
93,446.18,35.7,100.3,58.45,8.39,49.47,90.09,109.79,76.85,41.98,26.43,25.22,144.78,95.44,15.24,42.08,47.47,340.05,35.05,96.98,55.28,8.64,55.18,91.19,100.98
94,459.65,35.54,99.79,58.66,8.49,50.92,90.75,110.21,76.58,41.87,26.62,25.21,145.22,96.27,14.78,39.14,47.7,340.51,35.54,97.58,55.37,8.9,55.38,91.7,101.61
95,472.1,35.9,100.75,58.91,8.55,52.4,90.97,110.18,76.61,41.75,26.8,25,145.48,94.14,14.99,41.72,48.05,355.45,35.83,97.77,56.61,9.06,58.08,92.46,102.89
96,470.16,35.85,101.32,59.39,8.53,52.16,91.05,109.9,76.42,41.91,26.81,25.15,145.25,93.67,14.89,42.61,48.38,361.33,35.45,98.03,56.53,9.2,57.45,91.73,101.92
